region,price,garage,bedrooms,bathrooms,datebuilt,floorarea,detached,fireplace,agelessthan15,age65andover,nonwhite,unemploy,ownocc,carsperhh,manuf
5,25500,0,2,1,1957,123.1,0,0,21.64,16.76,1.053,5.69,55.63,0.479,29.561
6,38500,1,2,1,1976,78,0,1,19.69,16.95,0.38,6.08,52.099,0.614,16.392
5,37000,1,3,1,1976,85.7,0,0,28.26,9.52,0.567,1.25,53.967,0.957,26.356
5,44500,1,2,2,1960,91.7,0,0,27.86,10.32,0.824,8.25,56.529,0.996,18.561
6,36500,0,3,1,1983,98.5,0,1,28.43,7.51,1.499,1.05,52.582,0.934,27.045
6,48450,0,4,1,1901,186.7,0,1,24.74,13.03,0.767,8.75,57.553,0.858,14.566
5,42500,1,3,1,1981,68.2,0,0,27.63,7.51,1.792,3.05,56.433,0.833,18.005
5,40500,0,2,1,1989,71.4,0,0,27.23,9.11,1.529,6.05,61.237,0.827,29.291
3,61500,0,4,1,1899,170.7,0,1,19.61,20.06,2.649,7.54,60.044,0.568,12.833
3,61500,0,4,1,1903,174.7,0,0,20.41,19.26,2.35,3.54,55.807,0.721,7.651
3,74500,1,4,1,1928,98.3,0,0,21.04,20.21,0.352,4.37,61.62,0.915,18.008
3,63000,1,4,1,1961,100.6,0,0,19.05,20.95,1.722,1.58,52.801,1.035,20.337
2,51000,0,3,1,1907,153.9,0,1,17.03,17.52,5.558,0.21,53.93,0.911,21.011
6,44500,1,3,1,1967,99,0,1,18.35,20.48,0.503,9.36,60.782,0.481,14.081
5,28500,0,2,1,1994,54.7,0,0,18.58,19.69,0.816,4.96,58.903,0.563,12.486
3,27500,1,2,1,1913,95,0,0,14.46,23.75,0.835,8.07,59.428,0.91,21.72
3,37450,1,2,1,1893,120.7,0,1,20.41,21.26,2.667,0.54,56.303,1.002,4.815
3,37000,1,1,1,1932,78.4,0,0,18.16,16.76,0.995,7.81,53.3,0.311,14.744
2,66000,0,1,1,1987,66,0,0,21.29,17.02,3.676,14.65,57.67,0.001,8.587
2,41250,0,2,1,1983,72.4,0,1,15.07,21.17,10.96,12.98,57.4,0.004,7.791
2,20000,1,1,1,1982,25.8,0,0,22.05,14.57,1.16,2.26,57.658,0.744,19.684
4,26500,0,3,1,1905,75.5,0,0,22.45,18.39,5.218,5.14,53.581,0.385,21.532
1,22000,0,2,1,1967,81.6,0,0,21.02,17.06,0.534,1.46,57.956,0.721,24.68
3,21000,0,2,1,1911,53.4,0,0,21.86,21.15,0.961,2.09,56.272,0.193,19.377
3,28750,0,1,1,1954,52.1,0,0,16.62,24.86,0.171,4.47,53.41,0.943,19.115
5,19500,0,2,1,1922,65.2,0,1,22.19,17.85,0.333,12,54.48,0.461,27.948
5,27500,0,2,1,1902,64,0,1,23.66,17.92,3.967,8.16,55.347,0.206,20.592
6,43750,1,3,1,1923,85,0,0,22.91,15.65,0.484,5.69,53.118,0.64,17.86
1,34500,0,2,1,1897,70.9,0,0,17,19.6,1.41,1.65,59.875,0.981,9.362
2,58545,0,2,2,1992,58.7,0,0,15.47,21.97,11.561,8.98,57.957,0.531,8.162
6,30500,0,2,1,1916,67.1,0,0,19.55,19.28,0.541,1.36,59.515,0.655,14.495
5,22000,0,1,1,1900,70.7,0,1,20.91,15.25,0.324,2.69,55.755,0.585,8.37
5,25500,1,4,1,1982,53,0,0,20.02,16.74,2.006,5.73,55.699,0.504,8.681
6,12000,0,1,1,1951,43,0,0,24.75,11,0.555,7.12,60.11,0.774,29.481
5,24000,0,1,1,1967,67.3,0,0,23.55,10.6,0.934,10.12,54.09,0.487,31.35
5,28450,0,3,2,1974,55.4,0,0,30.03,6.71,1.49,8.05,55.74,0.762,25.403
3,29450,0,1,1,1947,56.7,0,0,20.28,22.48,0.883,5.07,59.388,0.386,30.922
5,38500,0,2,1,1986,59.7,0,1,25.62,14.42,0.831,10.21,58.948,0.367,21.395
1,18000,0,2,1,1893,60.7,0,0,18.58,14.17,0.863,10.29,52.579,0.324,28.922
1,17500,0,1,1,1977,29.5,0,0,19.64,17.15,0.227,0.29,56.916,0.941,18.41
6,22000,0,2,1,1899,77,0,1,22.82,17.54,1.574,4.73,52.866,0.849,9.825
1,34500,0,3,1,1891,141.7,0,0,19.38,15.37,1.399,12.29,58.224,0.074,25.781
1,27000,1,1,1,1975,44.2,0,0,21.82,17.46,1.042,7.46,59.748,0.34,27.153
1,27000,0,2,1,1946,90,0,1,20.58,15.37,1.649,12.29,53.274,0.556,29.942
1,23000,0,2,2,1898,81.1,0,0,20.33,18.62,2.89,9.84,52.609,0.722,28.831
1,24500,0,3,1,1931,71.3,0,0,19.56,21.27,0.673,10.52,59.377,0.65,38.299
1,22200,0,2,1,1903,66.7,0,0,18.88,18.94,0.879,1.98,52.873,0.289,24.371
1,17800,0,2,1,1895,70.5,0,0,20.98,15.37,0.888,15.29,53.644,0.371,22.253
1,26000,0,2,1,1919,66.7,0,1,20.73,17.82,3.284,8.84,59.67,0.377,25.425
1,19000,0,3,1,1909,79.5,0,1,18.4,18.95,0.778,1.3,56.638,0.758,15.193
1,21000,0,2,1,1907,88.9,0,1,20.04,16.35,0.023,4.29,53.649,0.852,14.059
1,18000,0,1,1,1901,80.5,0,1,19.53,16.62,3.255,3.84,52.704,0.556,20.494
1,37500,0,2,1,1941,64.2,0,0,21.96,20.07,0.66,7.52,51.776,0.477,32.389
1,25450,0,3,1,1897,94.9,0,0,17.93,18.22,2.681,6.84,52.22,0.531,18.552
1,17500,0,1,1,1907,73.1,0,0,18.98,15.77,1.077,16.29,52.081,0.17,14.907
1,18450,0,2,1,1903,78.9,0,1,18.58,16.57,0.937,11.29,54.031,0.343,21.717
1,24000,0,2,1,1897,83.4,0,1,20.64,15.11,0.679,13.25,59.528,0.293,27.865
1,24000,1,3,1,1895,99,0,1,21.78,16.97,1.408,10.29,53.044,0.11,19.34
1,22500,0,2,1,1915,84.4,0,0,19.53,16.62,3.292,7.84,51.902,0.556,12.201
1,21000,0,1,1,1913,88.6,0,0,19.13,17.42,3.114,7.84,55.842,0.746,18.333
1,27000,0,3,1,1883,84.5,0,0,22.73,14.88,1.369,8.19,60.906,0.554,18.422
1,21500,0,2,1,1910,68.9,0,0,20.33,18.22,3.177,5.84,61.4,0.78,28.463
5,23500,0,3,1,1967,83.1,0,0,19.69,18.15,0.626,4.08,60.8,0.58,21.551
5,52500,1,4,1,1970,85.9,0,0,19.29,18.95,0.5,7.08,61.213,0.599,23.057
5,26300,0,2,1,1895,89.5,0,0,22.49,16.95,0.674,3.08,56.902,0.847,16.373
5,22300,0,3,1,1963,104.5,0,0,21.82,16.98,0.474,5.86,57.348,0.675,12.942
5,26500,0,2,1,1917,107.2,0,1,22.09,15.35,0.474,5.08,55.706,0.503,19.433
6,35500,0,3,1,1913,134.3,0,1,21.64,14.36,0.588,5.69,59.686,0.831,27.333
2,33450,0,2,1,1957,102,0,1,18.53,22.98,4.661,6.2,61.735,0.859,21.228
6,23500,0,3,1,1905,111,0,1,23.24,13.96,0.783,1.69,51.961,1.018,30.238
3,38500,0,1,1,1989,85.9,0,1,22.17,13.61,1.909,5.54,58.14,0.507,13.634
6,30450,1,2,1,1990,63.2,0,0,24.74,13.83,0.75,5.75,53.02,0.681,20.992
5,43500,0,2,1,1993,58.2,0,0,26.43,6.71,1.741,4.05,52.755,1.088,15.937
6,27450,0,1,1,1888,81.1,0,1,17.73,19.32,1.269,1.82,59.008,0.764,11.462
6,34450,0,3,2,1929,116,0,1,19.73,20.52,1.251,1.82,60.635,0.459,13.675
6,24450,0,2,1,1909,76.5,0,0,23.39,16.25,0.415,5,53.236,0.611,33.627
5,25450,0,2,1,1901,66.9,0,0,20.93,17.72,0.941,9.82,54.968,0.534,25.411
1,39450,0,2,1,1893,111.1,0,1,23.29,13.31,0.516,8.38,56.866,0.782,26.934
4,27000,0,1,1,1907,65.1,0,0,18.26,15.46,1.972,7.43,57.079,0.466,8.659
4,22500,0,1,1,1909,67.4,0,0,20.85,18.79,5.804,6.14,57.951,0.298,10.043
4,23000,0,1,2,1903,76.4,0,1,18.66,15.86,1.839,6.43,52.962,0.589,26.507
4,28250,0,3,1,1972,83.3,0,1,20.61,18.54,0.631,8.64,59.368,0.567,25.138
4,34500,0,3,2,1893,143.5,0,1,20.63,14.08,0.163,4.49,60.129,0.407,29.787
5,21500,0,2,1,1929,108.5,0,1,22.09,16.15,0.311,3.08,52.124,0.818,26.37
5,28500,0,2,2,1913,98.5,0,1,20.86,14.32,3.357,6.16,53.084,0.607,22.954
6,39450,0,3,2,1970,105,0,1,29.63,5.91,2.011,9.05,56.689,0.799,17.409
5,28450,0,2,2,1969,70.4,0,0,25.55,11.4,0.9,6.12,57.112,0.858,28.415
5,37500,0,3,1,1968,89.3,0,1,28.83,9.11,1.639,4.05,61.232,1.092,23.023
6,38450,0,3,1,1979,52.5,0,1,30.03,5.91,1.397,6.05,56.278,0.904,32.08
