"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"65","Of course the furthest I’d get on @hqtrivia would be when it’s #GameOfThones  trivia! 😂 got to q 14! Always read before you click!",FALSE,0,NA,2019-03-11 01:20:18,FALSE,NA,"1104914913263144961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsyesey",0,FALSE,FALSE,NA,NA
"66","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:19:49,FALSE,NA,"1104914791615758336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Calauriees",103,TRUE,FALSE,NA,NA
"67","Just started watching #GameOfThones and am not sure I can handle it. Omg that ending!",FALSE,0,NA,2019-03-11 01:12:42,FALSE,NA,"1104913002518728704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SebagoScents",0,FALSE,FALSE,NA,NA
"68","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:06:21,FALSE,NA,"1104911403033387008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Toey_Es",103,TRUE,FALSE,NA,NA
"69","Tourmond is ginger bae #GameOfThones",FALSE,0,NA,2019-03-11 01:06:09,FALSE,NA,"1104911353821708288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_DeeLoLo",0,FALSE,FALSE,NA,NA
"70","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:05:21,FALSE,NA,"1104911152679710721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gregmendoza94",103,TRUE,FALSE,NA,NA
"71","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 01:04:50,FALSE,NA,"1104911022266245120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MikeAPrz",53,TRUE,FALSE,NA,NA
"72","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:02:54,FALSE,NA,"1104910537161351169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DiegoDiegosan27",103,TRUE,FALSE,NA,NA
"73","Yassssss can it be April 14 already!!! Can't wait!!! #GameOfThones https://t.co/opJLWrA4Ji",FALSE,0,NA,2019-03-11 01:02:09,FALSE,NA,"1104910347452899329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psknawai",0,FALSE,FALSE,NA,NA
"74","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:01:50,FALSE,NA,"1104910264820879360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lacethjoyce_",103,TRUE,FALSE,NA,NA
"75","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:01:36,FALSE,NA,"1104910206083915777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beamandherhat",103,TRUE,FALSE,NA,NA
"76","Watching the #GameOfThones trailer (again) and Cersei looks legitimately sad, and that has to mean Jaime's dead, right?",FALSE,0,NA,2019-03-11 01:01:26,FALSE,NA,"1104910166208794624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","allenwallace",0,FALSE,FALSE,NA,NA
"77","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:00:09,FALSE,NA,"1104909843318464513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kavissy",103,TRUE,FALSE,NA,NA
"78","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 00:59:54,FALSE,NA,"1104909782018777088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miz__priscy",103,TRUE,FALSE,NA,NA
"79","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 00:59:51,FALSE,NA,"1104909767447703552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZaharaGabrielle",53,TRUE,FALSE,NA,NA
