"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"16","RT @RobKSports: Last five back-to-back NBA MVP winners (points - assists - rebounds):

- Steph Curry: 26.9 - 7.2 - 4.8
- Lebron James: 26.9…",FALSE,0,NA,2019-03-11 02:59:44,FALSE,NA,"1104939935788744709",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daviid5150",130,TRUE,FALSE,NA,NA
"17","RT @RocketsNationCP: Congrats to Chris Paul on further solidifying his position as one of the best passers in NBA history! 👏💯 #Rockets http…",FALSE,0,NA,2019-03-11 02:58:34,FALSE,NA,"1104939642439241728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NikeAirQuan",6,TRUE,FALSE,NA,NA
"18","RT @HoustonRockets: 📸 #PhotoOfTheGame 📸

https://t.co/UExDYfALFf | @rokitofficial https://t.co/mrfeO9wFPP",FALSE,0,NA,2019-03-11 02:57:32,FALSE,NA,"1104939385605312512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carter3711",53,TRUE,FALSE,NA,NA
"19","RT @RocketsNationCP: Congrats to Chris Paul on further solidifying his position as one of the best passers in NBA history! 👏💯 #Rockets http…",FALSE,0,NA,2019-03-11 02:57:25,FALSE,NA,"1104939355523739648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NijalD",6,TRUE,FALSE,NA,NA
"20","RT @RocketsNationCP: Congrats to Chris Paul on further solidifying his position as one of the best passers in NBA history! 👏💯 #Rockets http…",FALSE,0,NA,2019-03-11 02:56:37,FALSE,NA,"1104939151219150849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stevo_West09",6,TRUE,FALSE,NA,NA
"21","RT @RobKSports: Last five back-to-back NBA MVP winners (points - assists - rebounds):

- Steph Curry: 26.9 - 7.2 - 4.8
- Lebron James: 26.9…",FALSE,0,NA,2019-03-11 02:55:06,FALSE,NA,"1104938772733530114",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dannyquintero",130,TRUE,FALSE,NA,NA
"22","RT @Ari_theDJ: If i wake up listening to NBA Youngboy...stay the fuck out my way for the rest of the day.",FALSE,0,NA,2019-03-11 02:54:43,FALSE,NA,"1104938673026596867",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jocelyncamia",37,TRUE,FALSE,NA,NA
"23","RT @RocketsNationCP: Congrats to Chris Paul on further solidifying his position as one of the best passers in NBA history! 👏💯 #Rockets http…",FALSE,0,NA,2019-03-11 02:54:19,FALSE,NA,"1104938575630647298",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RaY_gRiMaLD0",6,TRUE,FALSE,NA,NA
"24","RT @HoustonRockets: 📸 #PhotoOfTheGame 📸

https://t.co/UExDYfALFf | @rokitofficial https://t.co/mrfeO9wFPP",FALSE,0,NA,2019-03-11 02:54:11,FALSE,NA,"1104938538989047808",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","crongncright",53,TRUE,FALSE,NA,NA
"25","RT @SalmanAliNBA: Since the All-Star break, the Houston Rockets have the 7th best defense in the NBA.",FALSE,0,NA,2019-03-11 02:54:11,FALSE,NA,"1104938538536239104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Whata_Berger",15,TRUE,FALSE,NA,NA
